,href,Campaign,Adgroup,keyword
47,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Волосатоклеточный Лейкоз
48,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Гемофилия A 
49,,Поисковая сеть. Евразия NEW,Гематология,Гемофилия B 
50,,Поисковая сеть. Евразия NEW,Гематология,Гемофилия С
51,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Гемохроматоз
52,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Лимфома Беркитта
53,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Миелодиспластический Синдром 
54,,Поисковая сеть. Евразия NEW,Гематология,Мдс
55,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Миеломная Болезнь
56,,Поисковая сеть. Евразия NEW,Гематология,Множественная Миелома
57,,Поисковая сеть. Евразия NEW,Гематология,Плазмоцитома
58,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Миелофиброз
59,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Неходжкинская Лимфома 
60,,Поисковая сеть. Евразия NEW,Гематология,Нхл
61,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Острый Лимфобластный Лейкоз
62,,Поисковая сеть. Евразия NEW,Гематология,Олл
63,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Острый Миелобластный Лейкоз
64,,Поисковая сеть. Евразия NEW,Гематология,Омл
65,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Панцитопения
66,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Полицитемия Вера
67,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Пурпура Шенлейна–Геноха
68,,Поисковая сеть. Евразия NEW,Гематология,Геморрагический Васкулит
69,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Сфероцитоз
70,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Т Клеточная Лимфома
71,https://bookinghealth.ru/clinics/treatment/hematology/germany,Поисковая сеть. Евразия NEW,Гематология,Талассемия
