href,disease_type,keyword
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Абсцесс дугласова пространства
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Атрофия вульвы
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Влагалищно-пузырный свищ
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Внутриматочные
                        синехии (синдром Ашермана)"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Гиперплазия
                        эндометрия"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Деформация наружных
                        половых органов"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Дисгерминома
                        яичников"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Доброкачественная опухоль вульвы
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Доброкачественные опухоли
                        яичников"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Злокачественная тератома яичников
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Интраэпителиальная
                        неоплазия вульвы"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Киста бартолиновой железы
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Киста яичника
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Кондилома вульвы
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Миома матки
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Недержание
                        мочи при опущении органов тазового дна"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Опухоль Бреннера
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Опухоль желточного мешка
                        яичника"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Пограничные
                        эпителиальные опухоли яичников"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Полиэмбриома яичников
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Пролапс (опущение, выпадение) матки"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Прямокишечно-влагалищный свищ
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Рак вульвы
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Рак шейки матки
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Рак эндометрия (рак
                        матки)"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Рак яичника
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Синдром
                        Майера-Рокитанского-Кюстера-Хаузера"
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Уретровагинальный свищ
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Хориокарцинома
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Хронический параметрит
